SchoolID,SchoolYearStart,CountyID,DistrictID,Enrollment,DistrictEnrollment,CountyEnrollment,FreeLunches,DistrictFreeLunches,CountyFreeLunches,ReducedLunches,DistrictReducedLunches,CountyReducedLunches,EligibleStudents,DistrictEligibleStudents,CountyEligibleStudents,PercentEligible,DistrictPercentEligible,CountyPercentEligible,County,District,School,Spacer
754,7/1/14,24,2142,478,40698,60991,191,22679,32986,31,2987,4619,222,25666,37605,46.44,63.06,61.66,Marion,Salem-Keizer SD 24J,Myers Elementary School,
745,7/1/14,24,2142,475,40698,60991,185,22679,32986,40,2987,4619,225,25666,37605,47.37,63.06,61.66,Marion,Salem-Keizer SD 24J,Gubser Elementary School,
5066,7/1/14,24,2142,527,40698,60991,225,22679,32986,31,2987,4619,256,25666,37605,48.58,63.06,61.66,Marion,Salem-Keizer SD 24J,Battle Creek Elementary School,
775,7/1/14,24,2142,1904,40698,60991,858,22679,32986,101,2987,4619,959,25666,37605,50.37,63.06,61.66,Marion,Salem-Keizer SD 24J,South Salem High School,
750,7/1/14,24,2142,334,40698,60991,167,22679,32986,11,2987,4619,178,25666,37605,53.29,63.06,61.66,Marion,Salem-Keizer SD 24J,McKinley Elementary School,
4068,7/1/14,24,2142,496,40698,60991,217,22679,32986,49,2987,4619,266,25666,37605,53.63,63.06,61.66,Marion,Salem-Keizer SD 24J,Harritt Elementary School,
772,7/1/14,24,2142,2055,40698,60991,944,22679,32986,176,2987,4619,1120,25666,37605,54.5,63.06,61.66,Marion,Salem-Keizer SD 24J,McNary High School,
4589,7/1/14,24,2142,208,40698,60991,98,22679,32986,21,2987,4619,119,25666,37605,57.21,63.06,61.66,Marion,Salem-Keizer SD 24J,Early College High School,
3526,7/1/14,24,2142,318,40698,60991,164,22679,32986,20,2987,4619,184,25666,37605,57.86,63.06,61.66,Marion,Salem-Keizer SD 24J,Lee Elementary School,
753,7/1/14,24,2142,386,40698,60991,196,22679,32986,28,2987,4619,224,25666,37605,58.03,63.06,61.66,Marion,Salem-Keizer SD 24J,Morningside Elementary School,
737,7/1/14,24,2142,428,40698,60991,223,22679,32986,30,2987,4619,253,25666,37605,59.11,63.06,61.66,Marion,Salem-Keizer SD 24J,Wright Elementary School,
735,7/1/14,24,2142,399,40698,60991,205,22679,32986,31,2987,4619,236,25666,37605,59.15,63.06,61.66,Marion,Salem-Keizer SD 24J,Cummings Elementary School,
759,7/1/14,24,2142,288,40698,60991,156,22679,32986,19,2987,4619,175,25666,37605,60.76,63.06,61.66,Marion,Salem-Keizer SD 24J,Salem Heights Elementary School,
749,7/1/14,24,2142,378,40698,60991,202,22679,32986,32,2987,4619,234,25666,37605,61.9,63.06,61.66,Marion,Salem-Keizer SD 24J,Liberty Elementary School,
766,7/1/14,24,2142,767,40698,60991,456,22679,32986,42,2987,4619,498,25666,37605,64.93,63.06,61.66,Marion,Salem-Keizer SD 24J,Leslie Middle School,
