County,Agr.,Site.,Sponsor.Name,Site.Name,SchoolID,Area.Eligible.School,Street.Address,Addr2,City,State,Zip.Code,Opening.Date,Closing.Date,Operating.Days,Breakfasts.Served,AM.Snacks.Served,Lunches.Served,PM.Snacks.Served,Suppers.Served,X
Multnomah,2616011,12696,Portland SD,Mt. Scott Park,864,Kelly Elementary School,SE 72nd & Harold,,Portland,OR,97206,18-Jun-13,23-Aug-13,48,0,0,5894,0,0,NA
Marion,2402002,13074,Boys & Girls Club of Salem,Keizer Branch,746,Kennedy Elementary,4840 Noren St,,keizer,OR,97303,17-Jun-13,31-Aug-13,53,0,0,2898,2303,0,NA
Jackson,1513001,10494,Medford SD 549,North Medford High,416,Kennedy Elementary,1900 North  Keene Way,,Medford,OR,97504,17-Jun-13,16-Aug-13,42,135,0,661,0,0,NA
Multnomah,2616011,11034,Portland SD,King Elem,866,King Elem,4906 NE 6th Ave,,Portland,OR,97211,1-Jul-13,25-Jul-13,17,1673,0,1965,0,0,NA
Multnomah,2616011,15122,Portland SD,McCoy Village,866,King Elem,4310 NE Martin Luther KIng,,Portland,OR,97211,18-Jun-13,23-Aug-13,36,0,0,232,0,0,NA
Multnomah,2602004,12971,Boys & Girls Club of Portland Metropolitan Area,Blazers Boys & Girls Club,866,King Elementary,5250 SE Martin Luther King Jr. Blvd.,,Portland,OR,97212,11-Jun-13,16-Aug-13,52,0,0,5788,6148,0,NA
Washington,3402002,11216,Beaverton SD 48J,Kinnaman Elem,1166,Kinnaman Elementary School,4205 SW 193rd Av.,,Beaverton,OR,97007,18-Jun-12,22-Aug-13,47,877,0,3783,0,0,NA
Washington,3402002,14129,Beaverton SD 48J,Willow Springs Apartments,1166,Kinnaman Elementary School,3340 SW Doyle Place,,Beaverton,OR,97007,19-Jun-13,16-Aug-13,42,0,0,1991,0,0,NA
Clackamas,303003,15113,Canby SD 86,Canby Christian Church,,Knight Elementary School,444 N Holly St.,,Canby,OR,97013,22-Jul-13,30-Aug-13,18,0,0,314,0,0,NA
Clackamas,303003,10203,Canby SD 86,Knight Elem,,Knight Elementary School,501 N Grant St,,Canby,OR,97013,26-Jun-12,30-Aug-13,18,0,0,843,0,0,NA
Linn,2207001,15311,Greater Albany SD 8J,Lafayette Elementary Summer Readiness,640,Lafayette,3122 Madison Street SE,,Albany,OR,97322,12-Aug-13,23-Aug-13,5,0,245,0,0,0,NA
Linn,2207001,10746,Greater Albany SD 8J,Lafayette Elem,640,Lafayette Elementary School,3122 Madison St NE,,Albany,OR,97322,17-Jun-13,16-Aug-13,43,0,0,1777,0,0,NA
Marion,2419004,12787,Salem/Keizer SD 24J,Lamb Elementary,3375,Lamb Elementary,4930 Herrin Rd. NE.,,Salem,OR,97305,13-Jun-13,30-Aug-13,57,0,0,2355,0,0,NA
Multnomah,2616011,10992,Portland SD,Lane Middle,1243,Lane Middle,7200 SE 60th,60th and Duke,Portland,OR,97206,24-Jun-13,17-Aug-13,38,360,0,1236,0,0,NA
Lane,2010001,13690,Junction City SD 69,Bailey Park,595,Laurel Elem,325 Maple Street,,Junction City,OR,97448,25-Jun-13,2-Aug-13,28,0,0,431,0,0,NA
Lane,2010001,14735,Junction City SD 69,Junction City Community Services Center,595,Laurel Elem,175 7th Ave,,Junction City,OR,97448,25-Jun-13,2-Aug-13,28,604,0,1194,0,0,NA
Lane,2010001,10659,Junction City SD 69,Laurel Elem,595,Laurel Elem,1401 Laurel Street,,Junction City,OR,97448,25-Jun-13,2-Aug-13,28,863,0,1641,0,0,NA
Lane,2010001,13691,Junction City SD 69,Lyle Day,595,Laurel Elem,325 Maple Street,,Junction City,OR,97448,25-Jun-13,2-Aug-13,28,0,0,945,0,0,NA
Deschutes,902001,10043,Bend/LaPine SD,Lava Ridge Elementary,1317,Lava Ridge Elementary,20805 Cooley Road,,Bend,OR,97701,17-Jun-13,16-Aug-13,43,1788,0,1942,0,0,NA
Multnomah,2616011,11036,Portland SD,Lee Elem,869,Lee Elem,2222 NE 92nd Ave,,Portland,OR,97220,18-Jun-13,16-Aug-13,42,861,0,1531,0,0,NA
Clackamas,303003,15296,Canby SD 86,Bethany Evangelical Free Church,,Lee Elementary,450 S. Ivy St,,Canby,OR,97013,22-Jul-13,30-Aug-13,20,0,0,807,0,0,NA
Marion,2419004,12997,Salem/Keizer SD 24J,Lee Elementary,3526,Lee Elementary,5850 Venice St. SE,,Salem,OR,97306,13-Jun-13,26-Jul-13,32,0,0,867,0,0,NA
Multnomah,2616011,11037,Portland SD,Lent Elem,870,Lent Elementary School,5105 SE 97th Ave,,Portland,OR,97266,24-Jun-13,16-Aug-13,35,1327,0,1755,0,0,NA
Multnomah,2616011,12372,Portland SD,Lents Park,870,Lent Elementary School,SE 92 & Steele,,Portland,OR,97206,18-Jun-13,23-Aug-13,48,0,0,3889,0,0,NA
Multnomah,2616011,10978,Portland SD,Marshall High,870,Lent Elementary School,3905 SE 91st,,Portland,OR,97266,18-Jun-13,21-Jun-13,4,0,0,755,0,0,NA
Multnomah,2602004,13289,Boys & Girls Club of Portland Metropolitan Area,Wattles Site,870,Lent Elementary School,9330 SE Harold Street,,Portland,OR,97226,17-Jun-13,16-Aug-13,45,0,0,5563,6775,0,NA
Marion,2419004,10872,Salem/Keizer SD 24J,Liberty Elem,749,Liberty Elementary,4871 Liberty Rd. S.,,Salem,OR,97306,13-Jun-13,30-Aug-13,56,0,0,1956,0,0,NA
Marion,2423006,14125,Woodburn SD 103,Nuevo Amanecer,1267,Lincoln Elementary,1274 5th Street,,Woodburn,OR,97071,24-Jun-13,2-Aug-13,27,0,0,3490,0,0,NA
Washington,3408001,12952,Hillsboro SD 1J,Montabello Apartments,,Lincoln Elementary ,1220 SE 12th,,Hillsboro,OR,97123,17-Jun-13,16-Aug-13,44,0,0,1885,0,0,NA
Benton,203003,10183,Corvallis SD 509J,Lincoln Elem,36,Lincoln Elementary School,110 SE Alexander Ave.,,Corvallis,OR,97333,17-Jun-13,30-Aug-13,41,2110,0,3980,0,0,NA
Marion,2423006,10911,Woodburn SD 103,Lincoln Elem,36,Lincoln Elementary School,141 N Boones Ferry Rd,,Woodburn,OR,97071,5-Aug-13,23-Aug-13,5,179,0,193,0,0,NA
Multnomah,2604001,14948,David Douglas SD 40,Lincoln Park,975,Lincoln Park Elementary School,SE 135th Ave & Mill,,Portland,OR,97233,18-Jun-12,23-Aug-13,47,0,0,4826,0,0,NA
Clackamas,314001,14734,North Clackamas SD 12,Town Center Station,4765,Linwood Elementary School,8719 SE Monterey Ave,,Happy Valley,OR,97068,8-Jul-13,15-Aug-13,15,0,0,347,0,0,NA
Lane,2006004,13098,Food For Lane County,Lowell Community Park,598,Lundy Elementary School,N. Moss & 3rd,,Lowell,OR,97452,24-Jun-13,23-Aug-13,44,0,0,2492,0,0,NA
Polk,2704001,15291,Dallas SD,Dallas Mobile Home Village,989,Lyle Elementary School,573 E Ellendale,,Dallas,OR,97338,1-Jul-13,26-Jul-13,18,0,0,260,0,0,NA
Polk,2704001,10068,Dallas SD,Lyle Elementary,989,Lyle Elementary School,185 SW Levens,,Dallas,OR,97338,17-Jun-13,23-Aug-13,48,0,0,913,0,0,NA
Polk,2704001,14523,Dallas SD,Woodbridge Meadow Apartments,989,Lyle Elementary School,228 SE Dimick St,,Dallas,OR,97338,17-Jun-13,23-Aug-13,48,0,0,1655,0,0,NA
Multnomah,2603006,10926,Centennial SD 28J,Lynch View Elem,964,Lynch View Elementary School,1546 se 169th place,,portland,OR,97236,17-Jun-13,30-Aug-13,53,316,0,1339,0,0,NA
Multnomah,2603006,10927,Centennial SD 28J,Lynch Wood Elem,964,Lynch View Elementary School,3615 se 174th,,portland,OR,97236,17-Jun-13,30-Aug-13,53,1144,0,3295,0,0,NA
Coos,603004,15257,Coos Bay SD  009,Bayway Mobile Park,196,Madison Elementary School,917 S Empire Blvd,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,442,0,0,NA
Coos,603004,15256,Coos Bay SD  009,Charleston Community Church,196,Madison Elementary School,90402 Metcalf St,,Charleston,OR,97420,24-Jun-13,16-Aug-13,39,0,0,379,0,0,NA
Coos,603004,15259,Coos Bay SD  009,Ed Lund Park,196,Madison Elementary School,189 S Wall St,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,137,0,0,NA
Coos,603004,15289,Coos Bay SD  009,M 'Ocean' Trailer Park,196,Madison Elementary School,1964 Lawnridge Loop Rd,,Coos Bay,OR,97420,25-Jun-13,16-Aug-13,38,0,0,211,0,0,NA
Coos,603004,10363,Coos Bay SD  009,Madison Elem,196,Madison Elementary School,400 Madison St.,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,792,0,0,NA
Coos,603004,15258,Coos Bay SD  009,Pacific Empire Motel,196,Madison Elementary School,155 S Empire Blvd,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,213,0,0,NA
Coos,603004,15261,Coos Bay SD  009,Parkside Village,196,Madison Elementary School,324 Ackerman,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,412,0,0,NA
Coos,603004,15260,Coos Bay SD  009,Taylor/Wasson Park,196,Madison Elementary School,580 N Wasson St,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,432,0,0,NA
Coos,603006,12882,Coquille Indian Tribe,Tribal Center-Head Start,196,Madison Elementary School,591 Miluk,,Coos Bay,OR,97420,17-Jun-13,29-Aug-13,41,405,0,718,0,0,NA
Coos,603004,15262,Coos Bay SD  009,Woodland Apartments,196,Madison Elementary School,245 S Schoneman,,Coos Bay,OR,97420,24-Jun-13,16-Aug-13,39,0,0,789,0,0,NA
