District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,Pct Mobile Students 2014-15,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2011-12,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2013-14,Freshmen On Track 2014-15,State Freshman On Track,Like Schools Freshman On Track,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,SAT Participation 2014-15,State SAT Participation,Like Schools SAT Participation,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,State Continuing Education Rate,Like Schools Continuing Education Rate
1933,Astoria SD 1,Craig Hoppes,144,Astoria Middle School,Linda Berger,Grade(s) 6-8,M,Clatsop,411,,,,85.8%,12.5%,6.0,25.0,,,26.5,24.0,15.0,24.0,27.0,26.0,26.0,26.0,8%,46%,15%,2%,<1%,14%,<1%,4%,1%,78%,3,Not Rated,,Not Rated,64.3,56.4,59.1,44.9,42.5,45.6,63.9,67.1,71.5,66.9,65.0,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Astoria SD 1,Craig Hoppes,146,Astoria Senior High School,Lynn Jackson,Grade(s) 9-12,H,Clatsop,552,,,,74.1%,17.1%,--,--,,,25.0,24.0,26.0,24.0,23.0,26.0,24.5,26.0,6%,41%,13%,2%,1%,14%,1%,4%,<1%,78%,8,Not Rated,,Not Rated,79.6,68.5,70.6,10.3,31.6,26.4,57.0,52.7,38.2,34.3,62.6,62.9,79.5,79.5,79.9,81.0,54.8,54.0,51.4,61.6,31.7,34.2,60.3,59.9,70.1,67.7,72.0,77.3,78.4,69.7,68.3,76.5,82.1,87.1,3.6,4.1,3.5,5.0,4.0,2.1,66.7,61.3,62.9,69.4,60.5,53.6
1933,Astoria SD 1,Craig Hoppes,147,Lewis & Clark Elementary School,Brian Ploghoft,Grade(s) 3-5,E,Clatsop,407,153,254,--,91.3%,15.3%,25.0,25.0,25.0,25.0,,,,,,,,,10%,51%,18%,1%,<1%,18%,1%,3%,<1%,76%,3,Not Rated,,Not Rated,49.5,51.1,55.6,42.8,44.8,47.4,61.3,56.8,79.2,57.4,66.8,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,James Reger,1053,Athena Elementary School,James Reger,Grade(s) K-3,E,Umatilla,174,174,--,--,81.4%,18.2%,22.5,25.0,--,--,,,,,,,,,*,63%,10%,2%,2%,10%,11%,6%,0,69%,1,Not Rated,,Not Rated,45.5,47.4,--,45.5,47.1,--,*,*,*,*,*,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,James Reger,1055,Weston Middle School,Ann Vescio,Grade(s) 4-8,M,Umatilla,198,,,,84.3%,13.3%,19.5,25.0,,,18.5,24.0,15.0,24.0,19.0,26.0,19.0,26.0,*,57%,22%,1%,2%,7%,11%,6%,0,75%,2,Not Rated,,Not Rated,53.4,55.1,55.5,31.4,42.9,38.4,79.0,73.4,69.6,64.6,65.9,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,James Reger,1056,Weston-McEwen High School,Rollie Marshall,Grade(s) 9-12,H,Umatilla,182,,,,75.8%,14.9%,--,--,,,20.0,24.0,13.0,24.0,21.5,26.0,21.0,26.0,*,44%,14%,1%,1%,6%,8%,1%,0,82%,2,Not Rated,,Not Rated,90.9,68.5,71.4,40.9,31.6,28.0,52.9,47.2,58.7,55.8,62.6,66.5,81.8,79.5,79.9,84.1,38.9,26.1,46.2,41.3,31.7,34.8,79.1,75.7,84.2,87.8,72.0,78.7,76.3,86.4,88.2,94.7,82.1,87.8,0.6,0.6,2.9,1.7,4.0,2.1,46.4,67.6,73.3,62.9,60.5,54.3
1894,Baker SD 5J,Mark Witty,4759,Baker Early College,Daniel Huld,Grade(s) 9-12,H,Baker,177,,,,*,20.0%,--,--,,,--,--,--,--,--,--,--,--,7%,22%,*,5%,2%,3%,0,2%,1%,88%,6,Not Rated,,Not Rated,>95,68.5,71.8,73.6,31.6,30.8,83.3,80.0,67.3,64.6,62.6,71.3,*,*,79.9,82.7,8.3,15.6,34.3,31.7,31.7,35.0,25.0,66.7,70.3,86.7,72.0,80.7,50.0,80.0,86.4,83.8,82.1,90.1,0.0,0.0,5.1,1.5,4.0,1.6,0.0,100.0,64.3,73.1,60.5,56.5
1894,Baker SD 5J,Mark Witty,8,Baker High School,Benjamin Merrill,Grade(s) 9-12,H,Baker,472,,,,77.7%,15.4%,--,--,,,21.5,24.0,17.0,24.0,20.0,26.0,23.0,26.0,*,41%,15%,1%,<1%,6%,2%,4%,0,87%,3,Not Rated,,Not Rated,81.0,68.5,70.6,45.0,31.6,27.9,75.5,75.3,72.1,82.8,62.6,64.2,85.6,87.7,79.9,83.7,43.3,46.3,43.1,39.8,31.7,39.0,72.2,77.8,79.9,83.3,72.0,76.7,81.0,79.1,89.7,87.9,82.1,86.5,0.7,0.9,2.8,4.7,4.0,2.6,55.6,53.7,58.8,51.4,60.5,55.9
1894,Baker SD 5J,Mark Witty,1,Baker Middle School,Chris Carmiencke,Grade(s) 7-8,M,Baker,241,,,,81.1%,14.1%,--,--,,,25.0,24.0,23.0,24.0,25.5,26.0,26.0,26.0,*,52%,16%,1%,1%,9%,<1%,5%,0,83%,2,Not Rated,,Not Rated,52.6,57.5,56.1,37.1,44.0,42.2,80.3,75.4,69.9,71.3,65.0,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Baker SD 5J,Mark Witty,4728,Baker Web Academy,Roland Hobson,Grade(s) K-12,H,Baker,564,,,,77.0%,38.7%,--,--,,,--,--,--,--,--,--,--,--,9%,33%,9%,3%,1%,10%,1%,3%,<1%,82%,12,Not Rated,,Not Rated,55.4,55.7,54.7,29.2,42.1,28.1,57.5,48.6,52.6,58.1,64.9,59.3,>95,54.1,79.9,60.1,--,--,--,0.0,31.7,27.0,12.2,18.2,19.1,32.7,72.0,56.7,31.4,47.1,47.7,42.9,82.1,69.1,26.6,19.9,18.1,8.3,4.0,6.0,42.9,22.2,14.3,42.1,60.5,50.5
1894,Baker SD 5J,Mark Witty,2,Brooklyn Primary School,Gundula ONeal,Grade(s) K-3,E,Baker,473,473,--,--,86.2%,19.9%,23.0,25.0,--,--,,,,,,,,,<5%,67%,16%,<1%,<1%,12%,1%,4%,0,82%,3,Not Rated,,Not Rated,48.2,47.4,--,51.3,47.1,--,*,*,*,*,*,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Baker SD 5J,Mark Witty,3493,EAGLE CAP Innovative HS,Jerry Peacock,Grade(s) 9-12,H,Baker,27,,,,57.9%,61.9%,--,--,,,9.0,24.0,5.5,24.0,--,--,--,--,*,48%,*,0,0,11%,4%,7%,0,78%,2,Not Rated,,Not Rated,14.3,68.5,--,<5,31.6,--,72.7,75.0,66.7,14.3,62.6,--,*,*,79.9,--,--,--,--,0.0,31.7,--,--,28.6,54.5,18.8,72.0,--,--,28.6,36.7,72.2,82.1,--,19.5,20.8,23.2,33.3,4.0,--,--,--,50.0,58.3,60.5,--
1894,Baker SD 5J,Mark Witty,4,Haines Elementary School,Minda Vaughan,Grade(s) K-6,E,Baker,113,71,32,10,89.7%,18.6%,19.0,25.0,--,--,,,,,,,,,*,56%,20%,1%,0,4%,2%,2%,0,91%,1,Not Rated,,Not Rated,73.1,51.9,51.8,61.5,43.5,44.0,*,>95,88.9,83.3,66.8,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Baker SD 5J,Mark Witty,5,Keating Elementary School,Minda Vaughan,Grade(s) K-6,E,Baker,22,12,10,--,90.9%,15.4%,12.0,25.0,--,--,,,,,,,,,*,59%,*,0,0,14%,0,5%,0,82%,1,Not Rated,,Not Rated,80.0,51.9,--,70.0,43.5,--,*,*,*,*,66.8,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Baker SD 5J,Mark Witty,7,South Baker Intermediate School,Nanette Lehman,Grade(s) 4-6,E,Baker,314,--,206,108,89.3%,13.9%,27.5,25.0,--,--,,,,,,,,,<5%,64%,22%,1%,0,11%,2%,5%,0,82%,3,Not Rated,,Not Rated,41.1,53.5,54.6,25.7,42.2,46.6,66.4,76.7,60.0,55.3,66.8,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
