SchoolID,School,District,SchoolType,No_of_Program,Summer_2015_Activities,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
3624,Brockway Elementary School,Winston-Dillard SD 116,E,1,Extended School Year Program for elementary students.,65.4,75.1,Mathematics,100,36.6
237,Brookings-Harbor High School,Brookings-Harbor SD 17C,H,1,Crafts reading sports activities field trips etc.,51.72,75.2,English Language Arts,99.2,58.9
237,Brookings-Harbor High School,Brookings-Harbor SD 17C,H,1,Crafts reading sports activities field trips etc.,51.72,75.2,Mathematics,98.4,18.7
237,Brookings-Harbor High School,Brookings-Harbor SD 17C,H,1,Crafts reading sports activities field trips etc.,51.72,75.2,Science,98.4,59.3
732,Bush Elementary School,Salem-Keizer SD 24J,E,7,This site will combine Bush & Richmond: Indian Education (80-100 kids)/ Capital Park Church (30-40 kids)/ They have activities and come to Bush or Richmond when it was a site. They also have field trips that we provide lunches. 20 from Community.,68.93,71.5,English Language Arts,99.3,23.1
732,Bush Elementary School,Salem-Keizer SD 24J,E,7,This site will combine Bush & Richmond: Indian Education (80-100 kids)/ Capital Park Church (30-40 kids)/ They have activities and come to Bush or Richmond when it was a site. They also have field trips that we provide lunches. 20 from Community.,68.93,71.5,Mathematics,99.3,18
732,Bush Elementary School,Salem-Keizer SD 24J,E,7,This site will combine Bush & Richmond: Indian Education (80-100 kids)/ Capital Park Church (30-40 kids)/ They have activities and come to Bush or Richmond when it was a site. They also have field trips that we provide lunches. 20 from Community.,68.93,71.5,Science,100,31.8
119,Butte Creek Elementary School,Silver Falls SD 4J,E,1,Public School,48.62,74.8,English Language Arts,100,58.7
119,Butte Creek Elementary School,Silver Falls SD 4J,E,1,Public School,48.62,74.8,Mathematics,100,46.6
119,Butte Creek Elementary School,Silver Falls SD 4J,E,1,Public School,48.62,74.8,Science,100,75.6
406,Butte Falls Charter School,Butte Falls SD 91,H,1,,72.03,69.6,English Language Arts,100,25.3
406,Butte Falls Charter School,Butte Falls SD 91,H,1,,72.03,69.6,Mathematics,100,16.5
406,Butte Falls Charter School,Butte Falls SD 91,H,1,,72.03,69.6,Science,100,22
632,Calapooia Middle School,Greater Albany Public SD 8J,M,1,,60.64,81.6,English Language Arts,98.5,45.4
632,Calapooia Middle School,Greater Albany Public SD 8J,M,1,,60.64,81.6,Mathematics,97.8,22.5
632,Calapooia Middle School,Greater Albany Public SD 8J,M,1,,60.64,81.6,Science,98.4,62.6
289,Canyonville School,South Umpqua SD 19,E,1,crafts games and summer school,87.5,80.2,English Language Arts,99.2,39.2
289,Canyonville School,South Umpqua SD 19,E,1,crafts games and summer school,87.5,80.2,Mathematics,97.5,25.4
289,Canyonville School,South Umpqua SD 19,E,1,crafts games and summer school,87.5,80.2,Science,97.1,54.5
810,Cascade Junior High School,Cascade SD 5,M,1,Reading math science and PE,52.66,85.1,English Language Arts,99.4,49
810,Cascade Junior High School,Cascade SD 5,M,1,Reading math science and PE,52.66,85.1,Mathematics,98.8,32.9
810,Cascade Junior High School,Cascade SD 5,M,1,Reading math science and PE,52.66,85.1,Science,99.5,68.9
581,Cascade Middle School,Bethel SD 52,M,1,Produce Plus - Bethel Free Farmers Market.  Picnic setting and activities for kids  OSU Extension Program Iron Chef Culinary Program for Youth,76.99,81,English Language Arts,97.6,47.2
581,Cascade Middle School,Bethel SD 52,M,1,Produce Plus - Bethel Free Farmers Market.  Picnic setting and activities for kids  OSU Extension Program Iron Chef Culinary Program for Youth,76.99,81,Mathematics,97.6,29.8
581,Cascade Middle School,Bethel SD 52,M,1,Produce Plus - Bethel Free Farmers Market.  Picnic setting and activities for kids  OSU Extension Program Iron Chef Culinary Program for Youth,76.99,81,Science,98.1,64.4
652,Cascades School,Lebanon Community SD 9,E,1,Summer school. This will run Monday Tuesday and Wednesday.,71.57,77.3,English Language Arts,98.9,45.3
652,Cascades School,Lebanon Community SD 9,E,1,Summer school. This will run Monday Tuesday and Wednesday.,71.57,77.3,Mathematics,98.4,38.9
652,Cascades School,Lebanon Community SD 9,E,1,Summer school. This will run Monday Tuesday and Wednesday.,71.57,77.3,Science,100,55.2
1180,Cedar Park Middle School,Beaverton SD 48J,M,1,,27.04,87.3,English Language Arts,98.1,66.2
1180,Cedar Park Middle School,Beaverton SD 48J,M,1,,27.04,87.3,Mathematics,97.2,56.5
1180,Cedar Park Middle School,Beaverton SD 48J,M,1,,27.04,87.3,Science,,
544,Centennial Elementary School,Springfield SD 19,E,3,,71.36,83.6,English Language Arts,98.1,46.9
544,Centennial Elementary School,Springfield SD 19,E,3,,71.36,83.6,Mathematics,98.1,40.8
544,Centennial Elementary School,Springfield SD 19,E,3,,71.36,83.6,Science,97.2,75.7
676,Centennial Elementary School,Scio SD 95,E,0,Every Wednesday there is a reading program and then the kids will have lunch afterwards.,44.13,80.7,English Language Arts,99.3,45.8
676,Centennial Elementary School,Scio SD 95,E,0,Every Wednesday there is a reading program and then the kids will have lunch afterwards.,44.13,80.7,Mathematics,98.6,41.3
676,Centennial Elementary School,Scio SD 95,E,0,Every Wednesday there is a reading program and then the kids will have lunch afterwards.,44.13,80.7,Science,100,55.1
967,Centennial High School,Centennial SD 28J,H,1,Sports Camp ,64.22,75.2,English Language Arts,98,77.3
967,Centennial High School,Centennial SD 28J,H,1,Sports Camp ,64.22,75.2,Mathematics,98,33
967,Centennial High School,Centennial SD 28J,H,1,Sports Camp ,64.22,75.2,Science,99.3,59
960,Centennial Middle School,Centennial SD 28J,M,2,sports and academic,73.26,83.4,English Language Arts,97.8,50.9
960,Centennial Middle School,Centennial SD 28J,M,2,sports and academic,73.26,83.4,Mathematics,97.2,44.2
